current_dayno,observed_next_week_dep,ridge_prediction,persistence_prediction,ridge_alpha_selected_inside_training_window
233,0.3269230769230769,0.5217669142224887,0.3076923076923077,10.0
240,0.2692307692307692,0.4626923077418106,0.3269230769230769,100.0
261,0.25,0.4363954189043476,0.2692307692307692,100.0
268,0.40384615384615385,0.27880728959556567,0.25,1.0
282,0.2692307692307692,0.4145845772795387,0.40384615384615385,10.0
289,0.2692307692307692,0.29411007892955754,0.2692307692307692,1.0
296,0.28846153846153844,0.2537569452647057,0.2692307692307692,1.0
303,0.28846153846153844,0.2420084662900633,0.28846153846153844,1.0
310,0.40384615384615385,0.2758185032209488,0.28846153846153844,1.0
317,0.3076923076923077,0.35050430787577874,0.40384615384615385,1.0
324,0.34615384615384615,0.2976070195598645,0.3076923076923077,1.0
331,0.3076923076923077,0.3367425384718852,0.34615384615384615,10.0
338,0.4807692307692308,0.2656215530000485,0.3076923076923077,1.0
345,0.25,0.41094328629111615,0.4807692307692308,10.0
352,0.4807692307692308,0.3070112085536326,0.25,10.0
