facet_code,facet,intended_domain,recovered_domain,correct_primary_loading,rotated_factor_1,rotated_factor_2,rotated_factor_3,rotated_factor_4,rotated_factor_5
N1,Anxiety,Neuroticism,Neuroticism,True,-0.11597511732070533,0.27105198110142903,-0.0666147751095431,0.7971095474866017,-0.09634993183473038
N2,Anger,Neuroticism,Neuroticism,True,0.015359582230634721,0.06329604829841914,0.3879810522569801,0.690322656279978,-0.031242235149053877
N3,Depression,Neuroticism,Neuroticism,True,-0.3134916638073894,0.46657154595123085,0.029739050926079945,0.5841414820009628,0.11015924182082215
N4,Self-Consciousness,Neuroticism,Extraversion,False,-0.20943376145601594,0.6783698239861912,-0.08883061865263717,0.28507130885090937,-0.10668304679754687
N5,Immoderation,Neuroticism,Neuroticism,True,-0.3402425743523498,-0.1426327716974882,0.1682097908380355,0.4174549185740168,0.13128115507760713
N6,Vulnerability,Neuroticism,Neuroticism,True,-0.26810348813072843,0.23990704128478937,-0.07653709728101253,0.7459903553958308,-0.13471611984930895
E1,Friendliness,Extraversion,Extraversion,True,0.17779859239056825,-0.8094144187375139,-0.18712706257743053,-0.18385796299175822,-0.05656886744646131
E2,Gregariousness,Extraversion,Extraversion,True,0.03863867621727595,-0.8243548687940874,-0.004992199198171373,-0.038341635863321864,-0.034431007656054446
E3,Assertiveness,Extraversion,Conscientiousness,False,0.5786786371867002,-0.40331501957264704,0.24657221607498034,-0.047288823489474725,0.20273998897169904
E4,Activity Level,Extraversion,Conscientiousness,False,0.6060731115337364,-0.2860445369346148,-0.03547167816744548,0.08651318086521524,0.014604667032050442
E5,Excitement-Seeking,Extraversion,Extraversion,True,-0.21588686928042516,-0.6151066381044132,0.31395182947440936,0.13213430643746168,0.23316703139788342
E6,Cheerfulness,Extraversion,Extraversion,True,0.18999627255243248,-0.7010010096239303,-0.2075750221863331,-0.2709471692518351,-0.00817989753661685
O1,Imagination,Openness,Openness,True,-0.28208104881098217,-0.08902972530394437,0.062218762510208005,0.2217804251728491,0.5637011015929616
O2,Artistic Interests,Openness,Openness,True,0.057163725527130595,0.002587324348749008,-0.2865786704599062,0.02213288576003638,0.7130854190494832
O3,Emotionality,Openness,Agreeableness,False,0.09239692071329582,-0.16538458435287418,-0.49394763118600726,0.4324342755064131,0.3307815857611976
O4,Adventurousness,Openness,Openness,True,-0.018726675903464114,-0.3300385113701235,0.016917100405046213,-0.3186774618667067,0.529910909642908
O5,Intellect,Openness,Openness,True,0.14167865914046837,0.11245453903608202,-0.037895055791707856,-0.19020925686079584,0.7703140329907406
O6,Liberalism,Openness,Openness,True,-0.24847678271729648,0.022425462304276493,-0.021727831427595587,-0.015408586596300969,0.44199926378986104
A1,Trust,Agreeableness,Agreeableness,True,-0.05621841318738046,-0.4031950654560417,-0.45255773186572357,-0.23830256542343956,-0.08829455469624929
A2,Morality,Agreeableness,Agreeableness,True,0.2541199778443161,0.0964905669467613,-0.6807715443073026,-0.20104195730354593,0.007997181067077638
A3,Altruism,Agreeableness,Agreeableness,True,0.1686251325243759,-0.30132949072783716,-0.7310798850255632,0.14039957904979208,0.17968047224286726
A4,Cooperation,Agreeableness,Agreeableness,True,0.0956730835209321,0.1442685577683158,-0.6812842205747563,-0.39885118943896025,-0.013820399348111414
A5,Modesty,Agreeableness,Agreeableness,True,-0.23920708181426512,0.2211941003090962,-0.5010421752292584,0.16009276399811834,-0.14614564269185745
A6,Sympathy,Agreeableness,Agreeableness,True,0.03890194058825797,-0.17965907220991992,-0.6513307842325363,0.17726884861522438,0.2661865186840261
C1,Self-Efficacy,Conscientiousness,Conscientiousness,True,0.7530181641568907,-0.17462766586960157,-0.021872243594562364,-0.20222950060708256,0.09629454504735753
C2,Orderliness,Conscientiousness,Conscientiousness,True,0.5591923172236103,0.06330239751809846,-0.15204392462186447,-0.0904631277577002,-0.19862762908995796
C3,Dutifulness,Conscientiousness,Agreeableness,False,0.5035780898159621,0.08982660596890388,-0.5053558773952068,-0.19637253555653408,-0.14214235243522397
C4,Achievement-Striving,Conscientiousness,Conscientiousness,True,0.7670665630768078,-0.04478796515905951,-0.23470487855331443,-0.04822322683248767,0.07373403900035713
C5,Self-Discipline,Conscientiousness,Conscientiousness,True,0.7969266900266884,-0.14011281428332217,-0.11893553591564959,-0.20807366584326462,-0.058194046060464626
C6,Cautiousness,Conscientiousness,Conscientiousness,True,0.45049044227585494,0.3466107800202573,-0.27945843456909114,-0.41218905475810136,-0.051220857710469386
