1.000000000000000000e+00,4.690133192422242248e-01,5.764061353938205734e-01,4.176943440158388254e-01,2.457943124373408450e-01,7.505430590392430101e-01,-3.339573021412235998e-01,-2.205700791531409743e-01,-2.575384896014082381e-01,-9.221284683175993979e-02,-1.057495212830878301e-01,-3.711681464324222968e-01,1.394157488579535475e-01,-2.496177841611615586e-02,2.305342746779676377e-01,-3.684762400395493187e-01,-1.760194385058911071e-01,3.885450186846518134e-02,-2.277036679933094054e-01,-1.435259615419053059e-01,-3.873642081403686800e-03,-1.803820126240098520e-01,1.833553794748522814e-01,6.265104066121998660e-02,-2.938095391655922706e-01,-1.016371002264814249e-01,-1.448478767018850089e-01,-1.500050020540799611e-01,-2.831386251325305747e-01,-2.222106879859047923e-01
4.690133192422241692e-01,1.000000000000000000e+00,3.712546787480562882e-01,1.813870315526357468e-01,2.744755206478372012e-01,4.348724809106995770e-01,-2.171653234328952409e-01,-8.715099479083357470e-02,1.317290429779142957e-02,-5.840402145415485302e-02,1.136565633101370848e-01,-3.001598721948262050e-01,1.206495724808133302e-01,-1.118400622156973112e-01,7.156390799323533725e-02,-2.004908232348577568e-01,-1.325073689762822915e-01,-2.274913914855598851e-02,-3.120432729223485691e-01,-2.869269988300886531e-01,-2.039815578880678215e-01,-5.684034224338817554e-01,-3.548302558878909524e-02,-1.294281276924043877e-01,-1.752287129401103039e-01,-1.343926172172660860e-01,-2.656963046247188820e-01,-1.567097504831000410e-01,-2.092464614240256982e-01,-3.202945424658653617e-01
5.764061353938205734e-01,3.712546787480562882e-01,1.000000000000000000e+00,4.627977289473821920e-01,3.004756803402979792e-01,5.628209824908512182e-01,-5.084746995500611932e-01,-3.446716150900016595e-01,-3.252005944477830979e-01,-2.420000070796621827e-01,-6.582946385369675690e-02,-6.506540061380710060e-01,1.934032061766468302e-01,3.224972668588613200e-02,1.254740665722557658e-01,-2.034756572315504775e-01,-2.308642833647406994e-02,1.004352843863295791e-01,-2.987873589243650319e-01,-1.760108441510782606e-01,-1.232811117430764186e-01,-1.895436690347257203e-01,3.292789746347586366e-01,-1.740174481689953784e-02,-4.076757040148081268e-01,-2.138257160627600462e-01,-2.535776363807856759e-01,-2.689000975932371307e-01,-4.304651351354679689e-01,-2.239939251755443672e-01
4.176943440158388809e-01,1.813870315526357468e-01,4.627977289473821920e-01,1.000000000000000000e+00,8.142949563289769710e-02,4.250326128537811887e-01,-6.657111846437464564e-01,-6.010651542445829554e-01,-4.575157470127144133e-01,-2.493476105915934105e-01,-2.813885813061433594e-01,-4.465390909059340219e-01,5.222447142057733832e-02,-7.380567685199784789e-02,-3.065007065094546915e-02,-3.625703299488857723e-01,-1.156364233325392205e-01,2.018597905374735005e-02,-1.834837834461008066e-01,-1.523633166791723940e-02,-1.234381433323601673e-01,3.575760500558499040e-03,2.461129205082506766e-01,-3.835131361529436900e-02,-2.659501586597343148e-01,-8.979469334704963390e-02,-4.122143640504054990e-02,-1.705599817248585337e-01,-2.749877868964226146e-01,1.195854200813684359e-03
2.457943124373408172e-01,2.744755206478371456e-01,3.004756803402979792e-01,8.142949563289769710e-02,1.000000000000000000e+00,2.804311510496489412e-01,-8.375479474474445407e-02,5.571181033209299249e-02,-8.006331130654684158e-02,-1.378157897180435909e-01,2.398659096440000638e-01,-1.244422271399443780e-01,2.097203357525395107e-01,4.289434466899961357e-03,9.552021267168273044e-02,-8.110048095294074624e-03,-3.755185289210322824e-02,1.214023501998466870e-01,-9.409312362881580571e-02,-2.541313631745051316e-01,-6.527278727409276116e-02,-2.373885097095191909e-01,-1.413176543978225024e-03,-3.228070466910062247e-02,-2.563322778160845861e-01,-2.498113369474845302e-01,-3.509145341702940013e-01,-2.314100970061251095e-01,-3.505954731023113724e-01,-3.980709718299013655e-01
7.505430590392431212e-01,4.348724809106996325e-01,5.628209824908512182e-01,4.250326128537811887e-01,2.804311510496489412e-01,1.000000000000000000e+00,-3.327945892071033085e-01,-2.089439864059545460e-01,-3.455275258067169730e-01,-1.434118381030032308e-01,-6.329159182092461422e-02,-3.604144306300723910e-01,1.332364210460225962e-01,-3.517349108465843421e-02,1.931393536800264654e-01,-3.438362302308672902e-01,-2.133218913525549987e-01,6.240813504716761356e-02,-1.723854967765852675e-01,-1.623435277774253060e-01,-5.040908955379765771e-02,-1.759960805896675640e-01,2.068211319581612362e-01,4.395986154511763444e-02,-4.202928369318270629e-01,-1.515973283052556853e-01,-2.018039622889806761e-01,-2.407667483853800361e-01,-3.760459250646195906e-01,-2.784408281219171721e-01
-3.339573021412235998e-01,-2.171653234328952409e-01,-5.084746995500611932e-01,-6.657111846437464564e-01,-8.375479474474445407e-02,-3.327945892071033085e-01,1.000000000000000000e+00,7.124582073674697869e-01,3.730709882532357025e-01,2.815324277951286591e-01,2.739511231203199393e-01,6.189236068976161631e-01,-7.337733243337112021e-02,4.740187540378967140e-02,1.436424976346504512e-01,2.675180538095509597e-01,-4.202709336870878200e-03,-5.537093002663693447e-02,4.037641443345045267e-01,1.220687634495335461e-01,3.375946736535204717e-01,9.912440474167211191e-02,-1.299598732527035838e-01,1.818530135680545556e-01,2.854913065466150313e-01,1.146302018371487957e-01,1.510919193554584317e-01,2.017286749738530227e-01,3.075049114491926194e-01,5.142383821059389251e-03
-2.205700791531409743e-01,-8.715099479083357470e-02,-3.446716150900016595e-01,-6.010651542445829554e-01,5.571181033209299249e-02,-2.089439864059545460e-01,7.124582073674697869e-01,1.000000000000000000e+00,3.088510675756463986e-01,2.415674019973738096e-01,4.433301339664481588e-01,4.936550194180039375e-01,-1.197354474808155940e-02,2.040665027386495689e-02,8.447217478406918167e-02,2.840565283100773275e-01,-5.009485588859059757e-02,-2.771930628956259610e-03,2.484994555716795728e-01,-4.550297095281516380e-02,1.935632702176505182e-01,-7.778109433131692729e-02,-1.341349373823931823e-01,9.957241293112936709e-02,1.457883023207592055e-01,2.308449751150071574e-02,-2.227601822896136882e-02,5.948321352988480970e-02,1.605987624469991104e-01,-1.565874687810512866e-01
-2.575384896014082381e-01,1.317290429779143131e-02,-3.252005944477830979e-01,-4.575157470127144688e-01,-8.006331130654684158e-02,-3.455275258067169730e-01,3.730709882532357580e-01,3.088510675756463986e-01,1.000000000000000000e+00,3.701733590015250375e-01,1.793631078737475681e-01,3.051657057148601249e-01,-5.628034611746641352e-02,5.898529248005668357e-02,4.514528059410769650e-02,2.237329844875025064e-01,1.723527785025218417e-01,-8.036144228423050540e-02,4.089205487664178407e-02,-2.024041649126818304e-02,1.077311444068680263e-01,-1.146739211994661917e-01,-3.471421607856106650e-01,1.724601323885911752e-02,4.823133363303087062e-01,1.568012235078433680e-01,1.101487262832311353e-01,3.591117547577645785e-01,4.009897756213253728e-01,6.734296933731716284e-02
-9.221284683175993979e-02,-5.840402145415485996e-02,-2.420000070796621827e-01,-2.493476105915934105e-01,-1.378157897180435909e-01,-1.434118381030032308e-01,2.815324277951286591e-01,2.415674019973737818e-01,3.701733590015250930e-01,9.999999999999998890e-01,6.528832776149250117e-02,2.800422560623712087e-01,-1.377939506441094863e-01,5.811605524576997361e-02,6.819768143907736779e-02,1.374104122341917866e-01,3.512527558276371670e-02,-8.762533617204537606e-02,1.001357987431069352e-01,1.213714815618335136e-01,1.701277899577874064e-01,8.009114144991039130e-02,-9.749571372657694912e-02,1.017567006991086098e-01,3.857434082639183415e-01,2.366616498087720788e-01,2.202813493627179264e-01,4.787213962835079051e-01,4.922963538068433897e-01,1.029113858974937679e-01
