dayno,weekly_dep,me_7day,ar1_21day,variance_21day,next_week_change
7,0.5,0.3530187074829932,,,-0.019230769230769218
14,0.4807692307692308,0.3550595238095238,-0.23159779777400985,0.004194385133479523,-0.03846153846153849
21,0.4423076923076923,0.3752503779289494,-0.21520880956236038,0.003642571123712075,0.07692307692307698
28,0.5192307692307693,0.3936904761904762,0.008641845529773193,0.002320508613963908,-0.019230769230769273
35,0.5,0.36378151260504193,0.07033771782722222,0.0032695888786042583,-0.019230769230769218
42,0.4807692307692308,0.30722222222222223,-0.07387401717858523,0.0059393392270216,-0.019230769230769218
49,0.46153846153846156,0.3312622826908541,-0.2939856916851899,0.005521536842460584,0.17307692307692302
70,0.6346153846153846,0.41485449735449736,0.5103924426798718,0.00703673873395135,-0.1538461538461538
77,0.4807692307692308,0.34102891156462584,0.3975657321575238,0.005933096299822717,-0.05769230769230771
84,0.4230769230769231,0.33259259259259266,0.37255628526623613,0.005287184831178822,0.11538461538461536
98,0.5384615384615384,0.3671669501133787,0.5885326926938453,0.004990609863054079,-0.28846153846153844
226,0.25,,,,0.05769230769230771
233,0.3076923076923077,0.34854497354497355,-0.04313807875542113,0.004041066529492458,0.019230769230769218
240,0.3269230769230769,0.32747165532879824,-0.1611123024559418,0.002741167832114231,-0.05769230769230771
261,0.2692307692307692,0.3077343159486016,-0.08205566491886589,0.0013211092471386218,-0.019230769230769218
268,0.25,0.3157549130763416,0.023234622688582375,0.001425009947504869,0.15384615384615385
282,0.40384615384615385,0.36458333333333337,0.14958533240018881,0.0032056302018866286,-0.13461538461538464
289,0.2692307692307692,0.29318546863189715,0.22424395328418353,0.0033299931575884573,0.0
296,0.2692307692307692,0.3215084089191232,0.34194500449093235,0.0027089881130472468,0.019230769230769218
303,0.28846153846153844,0.36272959183673475,0.45365010422971797,0.0020878644872576453,0.0
310,0.28846153846153844,0.3096938775510204,0.4121133444553972,0.0015944668723113387,0.11538461538461542
317,0.40384615384615385,0.3828835978835979,0.3483856703460074,0.0028890460557998423,-0.09615384615384615
324,0.3076923076923077,0.3195351473922902,0.475633999714304,0.003336076724034215,0.038461538461538436
331,0.34615384615384615,0.34841269841269845,0.49774259836050255,0.004249049569514264,-0.038461538461538436
338,0.3076923076923077,0.37013888888888885,0.5445964100239863,0.0033787373348810427,0.17307692307692307
345,0.4807692307692308,0.34996173469387754,0.2898750331746973,0.003619205783062784,-0.23076923076923078
352,0.25,0.27969907407407407,0.4332301542707138,0.004460482170984256,0.23076923076923078
366,0.4807692307692308,0.36006944444444444,0.21584856315168496,0.0052477598227857174,
