collection,relative_path,bytes,sha256,pages,words,text_method,status,error
sources_part_1,"01. About, Pros, Cons of DSM/25. DSM-5 - Pros and Cons.pdf",135568,ddb097a20cc680da3279c1f4f90c79fddb8ba2885c8e551cb11e935da809afc1,6,4625,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/26. From diagnosis to dialogue – reconsidering the DSM as a conversation piece in mental health care_a hypothesis and theory.pdf",760711,0310a67fb2cb7405c61720aa3493996c24a2bf809856a02d9ffb78582009df62,14,13159,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/27. Demand side management_Benefits and challenges.pdf",357131,7b62219b492968381006baa21f0ed9392be93e88128eceea650bbbbf535c6db9,8,7230,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/28. The Future of DSM Are Functioning and Quality of Life Essential Elements of a Complete Psychiatric Diagnosis.pdf",177266,41f9039625f96fd07ff4038195b72e229d7f9baf6c1cec1d14da194e73b4f8d2,7,6270,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/29. Functional Classification of Psychiatric Disorders A Luminous Future.pdf",83501,c7df2a8c030090285e8b5b5b07b0128422a0f103d38085e894e3cde59bc29a0a,5,3315,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/30. Process and Content of DSM-5.pdf",167545,6bd1d375b057fc0b97ce9f68fb87a5ba7195d9b9bccbc911b5fe848fb044fa79,15,9582,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/31. Responses to the Publication of the American Psychiatric Association’s DSM-5.pdf",565755,225c8acd850f2c1ab904f3a744dd2424be12536d8a5d322100ea2e6fa21e20ad,24,9160,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/32. Diagnosing the diagnostic and statistical manual of mental disorders.pdf",277708,f3204eedc13e1290bf9a4b47ba38288c38093b93e6921bc4276679c6cf529e8e,5,2232,embedded_text,ok,
sources_part_1,"01. About, Pros, Cons of DSM/33. A Critique of the DSM-5 Field Trials.pdf",189180,a0e175aa59bb1d70d08f68ac8e3b89ca8b2697ec53a3efa93ff7e4e15edba9ea,3,3335,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/01. A Hierarchical Taxonomy of Psychopathology (HiTOP) Primer for Mental Health Researchers.pdf",1214338,e0c3a7937d9a9e5af45117fb761b7795bd00f54c38003fe3f5dc9f03e841c1ea,34,16443,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/02. Home Publications & Databases Highlights in Psychological Research APA Journals Article Spotlight.pdf",924480,c78d3e9109fe5f03093b5145a37712b55c41d62f0ce350cbd4b9e63c1c1377f9,25,22457,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/02. The Hierarchical Taxonomy of Psychopathology (HiTOP) and the search for neurobiological substrates of mental illness_A systematic review and roadmap for future research.pdf",1722064,85da311b53b502b4d02ec591627a167c2d6bd3a09d8bb2d2c4d2ab97696d974f,32,14059,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/04. A new approach to eating‐disorder classification_Using empirical methods to delineate diagnostic dimensions and inform care.pdf",1656040,6913fd4baa2a71c2e75576a4eeaac849f84e862a92008052fa06879c7ce31da0,12,10104,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/05. The time has come for dimensional personality disorder diagnosis.pdf",144703,6c7fd05a68b3403359cf78da4b472601b51b8e123c27c7cac9020450948c0374,5,3002,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/06. HiTOP Assessment of the Somatoform Spectrum and Eating Disorders.pdf",181721,d746a6d55150c015958cecc8d5bdfb7d475d45a7b9839131a703b56e47324260,13,10156,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/07. Developing Preliminary Scales for Assessing the HiTOP Detachment Spectrum.pdf",485339,9987d82a017a273020147cc13f3a8789bcc1b6d2bde7300ee8f32169f2c291c3,13,8618,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/07. Development of Measures for the Hierarchical Taxonomy of Psychopathology (HiTOP)_A Collaborative Scale Development Project.pdf",438847,30f3b776a747b1ed136cf30db23b7ac291887b954c4b2d5a5fb4877efa06b3b2,14,11465,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/08. The distinction between symptoms and traits in the Hierarchical Taxonomy of Psychopathology (HiTOP).pdf",15452008,b55f7bbb470c0fbac7e305d8d93bd87377ae1a3b45e1e850e729986c84764985,35,10680,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/09. Personality Traits Across the Psychosis Spectrum_A HiTOP Conceptualization of Clinical Symptomatology.pdf",612413,be56516d5c9bdb9d9b0a8aa9cd9fa0294ea0aeb3d0c21c529838cec62cea5e66,23,9872,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/10. Disinhibition as a unifying construct in understanding how personality dispositions undergird psychopathology.pdf",89612,9e060e491e2eca01cfc3ab9eb4c5529b98330059e22850cbad98fb2b2a8af529,17,7978,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/11. Treatment of personality pathology through the lens of the hierarchical taxonomy of psychopathology_Developing a research agenda.pdf",127594,5557fd3847d4285fa038577e5cdf8897db62e1d1028f309bf240df0d897e0324,24,10777,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/12. Comparing Hierarchical Models of Personality Pathology.pdf",847144,b2baf3e1dfad7e83837f4bae50be6ab03a366646221bb4bbfab500a460ae7cc4,22,8267,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/13. Personality Traits as an Organizing Framework for Personality Pathology.pdf",236458,ace32e2ed31deb8dcdc32c9f574bd4c050d3e362fb3081764521be3fe15dbe7a,35,13630,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/14. The Hierarchical Taxonomy of Psychopathology.pdf",436068,4c178b82068b866785c7487dcdb973c1827f582f1508e6c99860e5080dc970d1,48,21449,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/15. Developmental perspectives on HiTOP psychosis superspectrum Unveiling pitfalls and theoretical fallacies.pdf",271419,da31927e0770ac1dcaeba2d5418090e8aa01236ba234cbbe4b22fecca2d07ad1,4,2656,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/16. Hierarchical structuring of psychopathological dimensions in youth current progress and future steps with the Hierarchical Taxonomy of Psychopathology (HiTOP).pdf",802964,a79e5141552b43f9ae08fe44739a0013a73da3d4ea0c38d76514c3f24d1e4375,8,5936,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/17. The Hierarchical Taxonomy of Psychopathology (HiTOP) and the search for neurobiological substrates of mental illness A review and roadmap for future research.pdf",1565871,134fe1fc8bd893a23fbcdd32f7e9a4083757e772391dac4a13375d6ebc1231a7,45,10720,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/18. The Hierarchical Taxonomy of Psychopathology (HiTOP)_A Quantitative Nosology Based on Consensus of Evidence.pdf",718126,08dffccb5167c3e1c2ef70851e2a3e6a406edc5265494eea764ecffa8a3f4cf9,26,14912,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/19. Diversity and the Hierarchical Taxonomy of Psychopathology.pdf",2346002,ee7237e83683ac6801feae3c79a9bdf9cea6378c13c598e81351e9df0adeaa2b,13,12630,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/20. Validity and utility of Hierarchical Taxonomy of Psychopathology (HiTOP)_I. Psychosis superspectrum.pdf",920433,92239398ec7a4b4f82716cc69a530fad7579b794368cd957976e39bc83b49624,22,19974,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/21. The Hierarchical Taxonomy of Psychopathology (HiTOP) Is Not an Improvement Over the DSM.pdf",63038,cda533b98d8444b485645191b00cef1bfba0b57388994d599b888ebb2d4db998,9,4121,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/22. Validity and utility of Hierarchical Taxonomy of Psychopathology (HiTOP) III. Emotional dysfunction superspectrum.pdf",544111,bc0c5af910b36494f0f5e355531323c57e0c813c5dbf5f4853b2b78faee2bf1a,29,26930,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/23. Integrating the Hierarchical Taxonomy of Psychopathology (HiTOP) into Clinical Practice.pdf",785484,22eb0c9aa9f851d0529f94a01ebfdab88c825824b60969cda0361a92ef465983,30,13218,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/24. HiTOP thought disorder, DSM-5 psychoticism, and five factor model openness.pdf",325594,171c894802c29ef63a495dcfa215276b1feeaee21355a96fbfc7789ded30ca2e,6,6726,embedded_text,ok,
sources_part_1,"02. About, Pros, Cons of HiTOP Model/25. Implications of the Symptom-Level Overlap Among DSM Diagnoses for Dimensions of Psychopathology.pdf",922889,893821c54fb91e18ea996eb0b39b3614f6cf1b179471f1e7c1f2e33b9c797dd5,9,4385,embedded_text,ok,
sources_part_1,"03. About, Pros, Cons of ICD 10/01. ICD-10_History and Context.pdf",164429,c1b802de7a5438c12dbeea0cce96829b79e46a06de14580aee3cb832176785dd,4,3086,embedded_text,ok,
sources_part_1,"03. About, Pros, Cons of ICD 10/02. Do mental health professionals use diagnostic classifications the way we think they do A global survey.pdf",110400,963f5bc23201b92d923f1e0127dfad71d6bc7ac34b35d8d58c3450f99fdce698,9,6828,embedded_text,ok,
sources_part_1,"03. About, Pros, Cons of ICD 10/03. A comparison of DSM and ICD classifications of mental disorder.pdf",380220,8019367cc764339a108f3231393fbb49f1c3b9d1978ff4cac026d6ada4130625,7,4589,embedded_text,ok,
sources_part_1,"03. About, Pros, Cons of ICD 10/04. A comparison of DSM-5 and ICD-11 models of PTSD_Measurement invariance and psychometric validation in Filipino trauma samples.pdf",463480,97deea16ec2b2299cff03268c21ad1b9cea6e875dc3a907bdb82d1ae8f8865a5,8,7482,embedded_text,ok,
sources_part_1,"03. About, Pros, Cons of ICD 10/05. ICD-10 Versus DSM-5 on Cultural Issues.pdf",107459,cc09bef42473e265d36809d8259a2aa29f435605e53d70e2baa57374edff6934,14,10913,embedded_text,ok,
sources_part_1,"03. About, Pros, Cons of ICD 10/07. Mathematical Psychology.pdf",272619,7eba4558750a5074599bf9d179ecf91e329cef945eb8ca84e3fe7f563383322f,17,7870,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/01. Computational Psychiatry.pdf,13238196,40abd815dc188e8e1fbe58ec5424391b00b31aabfb3536af4b86ab2f3a4a68f7,314,125166,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/02. Generative AI in psychology.pdf,535963,ee726e7e509126cb6720386d700d07684a3c14f81b87457f3087663e8ee32302,1,944,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/03. Using large language models in psychology.pdf,1623688,4cea32722b7882ea3173cf549e696700a0d4c9fdd08228e1f7d4247437f04470,14,14041,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/04. Computational Neurology and Psychiatry.pdf,15535571,727cd26297f7753afe02070696983aa432155d499287565120ced5260ffd9062,446,174973,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/05. Mathematical Psychology_Prospects For The 21st Century.pdf,83365,3d5cda8828caf2d757265ab08e63d1f6e82bf0c27dd7faf59740e980b4f64826,23,13866,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/06. Mathematical Psychology.pdf,107442,455f0c5ae7b4b1d253ae8076d0a4b81a0348c9dcb39a0150c8fee943f19183d2,7,4771,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/07. The Computational Metaphor and Cognitive Psychology.pdf,310580,e28bf6e7642939bb8975f2460cc60240ebe574324d78ea43b1f3ca23b094ba99,14,7472,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/08. Mathematical model of the dynamics of psychotherapy.pdf,2104318,d4a84f6f50b2cdbf7cb6342105d41a61f465c65f3c24025e36a8230a0628a077,11,8150,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/09. The Mathematics of Psychotherapy_A Nonlinear Model of Change Dynamics.pdf,552698,eb1f3999e12bcd0b4e8918fce217ed430e5110276dd4837858988ac74c2cdaf5,31,11660,embedded_text,ok,
sources_part_1,"04. About Computational & Mathematical Psychology/10. Computation in Psychotherapy, or How Computational Psychiatry Can Aid Learning-Based Psychological Therapies.pdf",2435079,08f42fefe79553d2b987debac0516ef82fe0310d23c42a62467a3d8597297e2a,24,12874,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/11. Computational Methods in Psychotherapy A Scoping Review.pdf,704001,b2596d2c70cc7c7b2910cf3a1ba20bf59ce7402d632ffe5971d3bf7d5f928d97,18,10182,embedded_text,ok,
sources_part_1,04. About Computational & Mathematical Psychology/12. Computational Psychotherapy Research_Scaling up the evaluation of patient-provider interactions.pdf,873836,e201ef4780a705ef8acacec4eb66cbf6082298c2ca6430304665addb7b45b16f,24,10146,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/01. Negative effects of psychotherapy_estimating the prevalence in a random national sample.pdf",390992,b612ff226ae3fa3c81ba387fe4e3e23ebe8850b1aa547f8a8203a3ef114b1cdb,8,7159,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/02. Adverse experiences in psychological treatments_Where do we stand.pdf",2046426,46a337b814f33c36e7974116697dc73dad86ff417e1bfaf7ba27d8eab3b611db,7,4760,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/03. Negative experiences in psychotherapy from clients’ perspective A qualitative meta-analysis.pdf",1032769,fc3632838f683b1d641332a2e890d57f9a9a94c2600388bb39d23b2a7525bd75,15,10872,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/04. Advantages and disadvantages of online psychotherapy and decisions to use it in the era of the COVID-19 pandemic - analysis of mediation variables.pdf",2724130,0efdf3331afd7cafe01380bb1897375cb72dd9ecee6acc4b3500223cc73460cf,20,15937,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/05. Psychotherapy its pros and cons (definition, benefits, types, and challenges).pdf",912797,44e58c5cb94620e2ac7b87d49ced686149b8e57f871fb88ee5c2d3a7a286e2e5,7,5464,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/06. Evidence-Based Psychotherapy_Advantages and Challenges.pdf",431551,aa1c78e7964a62167758f48d86530e04e4fc485e737622b182f1a8b151a23470,9,7356,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/07. Selecting the most appropriate treatment for each patientSelección del tratamiento más adecuado para cada paciente.pdf",708943,531e46620f8e2c24185305c67526fd2b07a44550b479f89a4ca16bd98b0e785c,10,8650,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/08. Psychotherapeutic approaches_hopefully, globally effective.pdf",413751,7b129578a7d13331664150e6a880af5b0a355b3d85e5a062949214f903006419,14,14602,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/09. Pros and cons of mental health treatment_reports from depressed clients with suicidal ideation.pdf",876444,26d75dea9fbdb20690fbb715b9b0bcaa2c5788546d83e7bb9883622aafbf8b37,9,6399,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/10. Comparing psychiatric routine care and integrative psychiatry – A study protocol for a prospective observational study (INTEGRAL).pdf",1279133,ab8fb5b1c20f935380f5cf4ec8b7fb0575b4f84f12f22f07dded75619904feb8,7,5951,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/11. Psychiatric diagnosis_pros and cons of prototypes vs. operational criteria.pdf",236368,d8f3f7c5441475eb31740dc5c779422c641fccaefcf873e9b4983502178048c0,2,1104,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/12. How important are the common factors in psychotherapy An update.pdf",178476,b2ca12c1f11499cfe600a0ed01fab8e341b82eca050c7b53e2104fadfc5a7a90,8,5999,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/13. Determining What is Common A Theoretical Account of Common Factors in Psychotherapy through the Lens of Self-Determination Theory.pdf",1278732,431d2e4d3dda6b7a1dc7a15b153decebd30d1ce1e3e4c6b42e8a5bf5d8864a11,13,9824,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/14. Alliance a common factor of psychotherapy modeled by structural theory.pdf",807024,b97453c2f9cece7749313b900bb2c5cb3ff414c3592d9b1a013f556baa3df297,11,8437,embedded_text,ok,
sources_part_1,"05. About, Pros, Cons of Psychotherapy and Its Approaches and Psychiatry/15. The Role of Common Factors in Psychotherapy Outcomes.pdf",388945,ea55dcbb9ba395971fccb413c42be17045ab1a9d6df194ce73bffd9cfd315148,27,16914,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/01. Analysis of the human basic psychological needs’ theories_A meta-theory approach.pdf,1196223,0f94d26216ef1e7376ccccdaaa21aabc2eabc446f390d3be4360dd46db9a5dc9,20,11310,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/02. Basic psychological needs and achievement emotions_the role of control and value appraisals in higher education.pdf,661778,a8d18b4cd2c155110a345ddd1753f529c6513a8cc5f28cc4e60e9306a6656f03,15,9942,embedded_text,ok,
sources_part_1,"06. About Needs and Their Theories/03. Basic Needs, Goals and Motivation.pdf",313467,21badb9a555e8c80dfb17af7fb24a4612f3be29ad932744e42bf099e68b33af4,9,6516,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/04. Meaning and Psychological Needs.pdf,466379,d8d85305522bcbd3b9ce32691943edb0e23cae1bc879205b448d5a40f84fc7ab,17,11585,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/05. Maslow's Hierarchy of Needs.pdf,1084660,b1040ebf6194c13e22bddc4739a3300b9b053134c928b3d00e05d3915fde1210,30,7048,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/06. Renovating the Pyramid of Needs_Contemporary Extensions Built Upon Ancient Foundations.pdf,963485,5213132b269c767d03e648f6f03665c6caeb17ec31eef99074eb4a54471c95a5,38,20759,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/07. An Overview of Needs Theories behind consumerism.pdf,791602,fe9d743668f678443f6fe3351f0ab196b3cb3fefc74e83291ae7848d4a001390,21,9406,embedded_text,ok,
sources_part_1,"06. About Needs and Their Theories/10. Self-Determination Theory and the Facilitation of Intrinsic Motivation, Social Development, and Well-Being.pdf",2336577,e14779081a999b49dfdde8fe7078fcef65a282d4e6374a037269083d063a1ec3,11,9320,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/11. Assessing basic and higher-level psychological needs satisfied through physical activity.pdf,954155,5d67e0ddebb96f504c60a3372144a34326513c6e434471449843d5f9f4938cdf,13,9749,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/12. The Role of Motivation in Complex Problem Solving.pdf,257423,b9a6620854f8f5142e0879f6305508fc93e09cbced19b61e953dc458a837eb76,5,3654,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/13. motivation-to-learn-online-an-analysis-from-mcclellands-theory-of-needs.pdf,621603,84de0970ba0872e2607c9a8e410923a59340abfddf211421d0a50016dbea79dc,19,6542,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/14. How individual needs influence motivation effects_a neuroscientific study on McClelland’s need theory.pdf,932789,79ae449e88d853575f7360c898baee003f19e6e41c0cf2f976997168a592bea0,40,17765,embedded_text,ok,
sources_part_1,06. About Needs and Their Theories/15. Analysis of the Theory of Acquired Needs from McClelland as a Means of Work Satisfaction.pdf,598194,181c8c774b9c4f2bf0bea1d141fa675c0572d332e11bcb381b58ad96bd92b719,6,4575,embedded_text,ok,
